"id","name","phase","x","y","trl","impact","barriers","sustainability","strategicFit","category","notes","source"
"20","GLP-1 Therapies (Expanded Applications)","Slope of Enlightenment","54.45","51.63","7","8.7","6.5","4","6.5","Health, Bio & Experience Tech","Weight-loss and metabolic drugs showing promise for neurodegenerative and cardiovascular diseases; moving beyond initial indications. Healthcare applications with potential for chronic disease management in Qatar.","WEF 2026, McKinsey 2026"
"21","Structural Battery Composites","Slope of Enlightenment","60.98","57.36","6","8.5","7.2","2.2","9","Energy, Climate & Materials","Materials that simultaneously store energy and bear structural loads; reducing weight in EVs, drones, and robotics. Enables lighter autonomous vehicles and mobile robots for QMIC's mobility applications.", WEF 2026
"22","Small Modular Reactors (SMRs)","Slope of Enlightenment","57.41","56.58","6","8.9","8","2.5","7.5","Energy, Climate & Materials","Scalable, factory-built nuclear reactors; gaining traction for data center and industrial power needs. Long-term energy security option aligning with Qatar's infrastructure planning.", "WEF 2026, IAEA 2026"
"23","Collaborative Sensing Networks","Slope of Enlightenment","68.74","54.49","7","9","6","2.8","9.8","Connectivity & IoT","Distributed sensors sharing data via AI for comprehensive environmental and infrastructure monitoring. Directly supports QMIC's smart city, traffic management, and environmental sensing R&D.","WEF 2026"
"24","Green Nitrogen Fixation","Slope of Enlightenment","64.03","56.32","5","8.3","8.2","1.5","7","Energy, Climate & Materials","Low-energy electrochemical and biological methods for fertilizer production; reducing agriculture's carbon footprint. Supports Qatar's food security and sustainability initiatives.",WEF 2026
"25","Cloud Data Ecosystems","Slope of Enlightenment","73.45","52.15","7","8.4","5.5","3","8.5","Computing & Infrastructure","Integrated data sharing and governance across organizational boundaries; enabling collaborative AI. Applicable to Qatar's smart city data sharing between government and transportation entities.","Gartner 2026"
"26","Embodied AI & Physical World Understanding","Plateau of Productivity","80.77","49.29","7","9.3","6","3.5","9.8","AI & Automation","AI systems that understand and interact with physical environments; powering autonomous navigation and manipulation. Core to QMIC's embodied intelligent systems strategy for robotics and smart city applications.","CB Insights 2026"
"27","Edge AI & Federated Learning","Plateau of Productivity","83.12","47.98","8","9","5","2.5","9.5","Computing & Infrastructure","AI processing at the edge with privacy-preserving distributed training; widely deployed for IoT and real-time analytics. Enables low-latency, privacy-aware smart city services and autonomous systems.","Gartner 2026"
"28","Cybersecurity Mesh","Plateau of Productivity","86.34","46.94","8","9","5.5","2","9.2","Security, Trust & Privacy","Modular, distributed security architecture for identity and access management; mature and widely adopted. Critical for securing Qatar's connected mobility and smart city infrastructure.", Gartner 2026
"29","Humanoid Robots (General Purpose)","Plateau of Productivity","78.50","50.59","7","9","7.5","4.5","9.5","Robotics & Physical Systems","Bipedal robots designed for human environments with advanced manipulation; commercial deployments beginning across multiple industries. Aligns with QMIC's advanced robotics research for service and industrial applications.","McKinsey 2026"
"30","AI for Climate Resilience","Plateau of Productivity","89.66","45.38","8","9.2","5.8","1.8","9","Energy, Climate & Materials","AI systems for climate impact prediction, urban adaptation planning, and resource optimization. Directly supports Qatar's environmental sustainability and climate adaptation strategies.", "WEF 2026, QMIC Strategy 2026"
