"id","name","phase","x","y","trl","impact","barriers","sustainability","strategicFit","category","notes","source"
"19","Bio-Digital Interfaces","Innovation Trigger","15.83","44.19","4","10","8","5","10","Health, Bio & Experience Tech","Brain-computer integration systems","WEF 2026"
"20","Quantum Computing (Hybrid)","Innovation Trigger","9.99","73.10","4","10","9","6","8","Quantum Technologies","Hybrid quantum-classical optimization systems","Gartner 2026"
"21","Agentic AI Security","Innovation Trigger","11.30","65.81","4","9.3","8","3","9.8","Security, Trust & Privacy","Autonomous AI agents that defend against AI-driven cyber threats; early-stage category attracting proven cybersecurity founders. Directly supports QMIC's IoT and connected systems security research.","CB Insights 2026"
"22","Swarm Robotics Systems","Innovation Trigger","12.61","58.52","4","9","7","5","10","Robotics & Physical Systems","Distributed robotic coordination","McKinsey 2026"
"23","6G Communications","Innovation Trigger","8.77","80.13","3","10","8","6","10","Connectivity & IoT","Next-gen ultra-low latency connectivity.","McKinsey"
"24","Multi-Agent Autonomous Systems","Innovation Trigger","14.27","51.23","4","9","8","5","10","AI & Automation","Distributed AI agents coordinating infrastructure and mobility","Gartner 2026"
"25","Ambient IoT (Battery-Free Sensors)","Innovation Trigger","7.64","86.90","3","8","8","3","10","Connectivity & IoT","Mass-scale embedded sensors for city monitoring","Gartner 2026"
"26","Agentic AI Systems","Peak of Inflated Expectations","23.24","19.45","5","10","7","5","10","AI & Automation","Autonomous AI agents orchestrating complex city-scale processes","Gartner 2026; McKinsey 2026"
"27","AI-Augmented Software Engineering","Peak of Inflated Expectations","28.47","11.64","6","8.9","6.5","3.2","9","AI & Automation","AI coding agents that generate, test, and debug software; reducing development time but introducing new security and cost management challenges. Accelerates QMIC's software prototyping capabilities.","Gartner 2026"
"28","Shared Autonomous Mobility (Robotaxis)","Peak of Inflated Expectations","25.86","14.45","5","9.2","8.5","5","9.8","Robotics & Physical Systems","Fully autonomous ride-hailing services moving from pilots to scaled deployment; regulatory and safety validation ongoing. Core to QMIC's mobility innovation research agenda.","McKinsey 2026, WEF 2026"
"29","Humanoid Service Robots","Peak of Inflated Expectations","31.96","10.34","6","9","8","6","10","Robotics & Physical Systems","Human-like robots for services and logistics","Gartner 2026"
"30","AI-Augmented Engineering","Peak of Inflated Expectations","35.18","11.64","6","9","5","6","8","AI & Automation","AI-driven code generation and testing.","Gartner"
